matrix_size,	elapsed_time
3,	0.001053
4,	0.000514
5,	0.000845
6,	0.001147
7,	0.000567
8,	0.001532
9,	0.001261
10,	0.000362
11,	0.004622
12,	0.001853
13,	0.001858
14,	0.002157
15,	0.000105
16,	0.000353
17,	0.000010
18,	0.000011
19,	0.000350
20,	0.000331
21,	0.000012
22,	0.000317
23,	0.000023
24,	0.000012
25,	0.000012
26,	0.001175
27,	0.000009
28,	0.000278
29,	0.000009
30,	0.000009
31,	0.000208
32,	0.000317
33,	0.000011
34,	0.000011
35,	0.000088
36,	0.000012
37,	0.000413
38,	0.001789
39,	0.000245
40,	0.003486
41,	0.002202
42,	0.001270
43,	0.000375
44,	0.000630
45,	0.000427
46,	0.000242
47,	0.000228
48,	0.001736
49,	0.000218
50,	0.002143
51,	0.000312
52,	0.000241
53,	0.000217
54,	0.000204
55,	0.000275
56,	0.000220
57,	0.000274
58,	0.000970
59,	0.000747
60,	0.000502
61,	0.001825
62,	0.000581
63,	0.000287
64,	0.000274
65,	0.000623
66,	0.000343
67,	0.000326
68,	0.000399
69,	0.000360
70,	0.000321
71,	0.000463
72,	0.000534
73,	0.002556
74,	0.003051
75,	0.002238
76,	0.000357
77,	0.000469
78,	0.000550
79,	0.000472
80,	0.000511
81,	0.000404
82,	0.000960
83,	0.000433
84,	0.000412
85,	0.001813
86,	0.001094
87,	0.000426
88,	0.000836
89,	0.000533
90,	0.000525
91,	0.000531
92,	0.000586
93,	0.000526
94,	0.000546
95,	0.000549
96,	0.005647
97,	0.002137
98,	0.000694
99,	0.000550
100,	0.000543
101,	0.000571
102,	0.000562
103,	0.000535
104,	0.000546
105,	0.000556
106,	0.000543
107,	0.000656
108,	0.000622
109,	0.000596
110,	0.000683
111,	0.000978
112,	0.000684
113,	0.001934
114,	0.000706
115,	0.000709
116,	0.000730
117,	0.000719
118,	0.000683
119,	0.000760
120,	0.000683
121,	0.000739
122,	0.001674
123,	0.000756
124,	0.000701
125,	0.000719
126,	0.000685
127,	0.000689
128,	0.000720
129,	0.000892
130,	0.003150
131,	0.001217
132,	0.000703
133,	0.000770
134,	0.000683
135,	0.000747
136,	0.000523
137,	0.000765
138,	0.001218
139,	0.000539
140,	0.000823
141,	0.000822
142,	0.000819
143,	0.000809
144,	0.000841
145,	0.000808
146,	0.000848
147,	0.000963
148,	0.001233
