matrix_size,	elapsed_time
3,	0.000569
4,	0.000319
5,	0.001138
6,	0.001188
7,	0.001887
8,	0.000551
9,	0.000358
10,	0.000383
11,	0.000683
12,	0.000678
13,	0.000349
14,	0.000615
15,	0.000341
16,	0.000605
17,	0.000351
18,	0.000615
19,	0.000322
20,	0.000597
21,	0.000638
22,	0.000391
23,	0.000644
24,	0.000708
25,	0.000978
26,	0.000361
27,	0.000598
28,	0.000306
29,	0.000591
30,	0.000178
31,	0.000807
32,	0.000699
33,	0.000701
34,	0.000160
35,	0.000156
36,	0.000982
37,	0.000181
38,	0.000120
39,	0.000137
40,	0.001149
41,	0.000386
42,	0.000133
43,	0.000752
44,	0.000154
45,	0.000137
46,	0.000678
47,	0.000137
48,	0.000589
49,	0.000195
50,	0.000147
51,	0.001462
52,	0.000205
53,	0.000681
54,	0.000706
55,	0.000170
56,	0.000153
57,	0.000694
58,	0.000630
59,	0.000159
60,	0.000170
61,	0.000216
62,	0.000366
63,	0.000785
64,	0.000185
65,	0.000519
66,	0.000195
67,	0.000426
68,	0.000187
69,	0.000433
70,	0.000181
71,	0.000259
72,	0.000452
73,	0.000464
74,	0.000345
75,	0.000606
76,	0.000710
77,	0.001359
78,	0.000337
79,	0.000593
80,	0.000611
81,	0.000562
82,	0.000280
83,	0.000621
84,	0.000560
85,	0.000554
86,	0.000310
87,	0.000371
88,	0.000602
89,	0.000597
90,	0.000324
91,	0.000385
92,	0.000576
93,	0.000386
94,	0.000363
95,	0.000657
96,	0.000633
97,	0.000694
98,	0.000643
99,	0.000669
100,	0.000665
101,	0.000683
102,	0.000664
103,	0.002547
104,	0.003057
105,	0.000744
106,	0.000745
107,	0.000702
108,	0.000644
109,	0.000839
110,	0.000707
111,	0.000715
112,	0.000692
113,	0.000508
114,	0.000842
115,	0.000740
116,	0.000690
117,	0.000757
118,	0.000760
119,	0.000781
120,	0.000766
121,	0.000798
122,	0.000790
123,	0.000780
124,	0.000759
125,	0.000812
126,	0.000801
127,	0.000804
128,	0.000833
129,	0.000851
130,	0.000883
131,	0.000645
132,	0.000580
133,	0.000671
134,	0.000656
135,	0.000684
136,	0.000669
137,	0.000710
138,	0.000692
139,	0.000730
140,	0.000743
141,	0.000753
142,	0.000763
143,	0.000794
144,	0.000759
145,	0.000809
146,	0.000752
147,	0.001055
148,	0.000848
149,	0.000851
150,	0.001996
151,	0.000901
152,	0.000888
153,	0.000905
154,	0.000923
155,	0.000951
156,	0.000964
157,	0.000989
158,	0.000980
159,	0.000985
160,	0.001026
161,	0.001035
162,	0.001049
163,	0.001058
164,	0.001056
165,	0.001101
166,	0.001326
167,	0.001134
168,	0.001118
169,	0.001172
170,	0.001170
171,	0.001188
172,	0.001186
