matrix_size,	elapsed_time
3,	0.000001
4,	0.000001
5,	0.000001
6,	0.000002
7,	0.000003
8,	0.000004
9,	0.000005
10,	0.000007
11,	0.000021
12,	0.000010
13,	0.000281
14,	0.000283
15,	0.000027
16,	0.000027
17,	0.000031
18,	0.000322
19,	0.000050
20,	0.000049
21,	0.000057
22,	0.000071
23,	0.000075
24,	0.000085
25,	0.001786
26,	0.000096
27,	0.000102
28,	0.000359
29,	0.000142
30,	0.000140
31,	0.001869
32,	0.000181
33,	0.000213
34,	0.000213
35,	0.000249
36,	0.000264
37,	0.000273
38,	0.000297
39,	0.000319
40,	0.000362
41,	0.000495
42,	0.000422
43,	0.000431
44,	0.000536
45,	0.000588
46,	0.000539
47,	0.000581
48,	0.000619
49,	0.000736
50,	0.000677
51,	0.000717
52,	0.000784
53,	0.000832
54,	0.002009
55,	0.000918
56,	0.000968
57,	0.001019
58,	0.001067
59,	0.001123
60,	0.001179
61,	0.001254
62,	0.001318
63,	0.001374
64,	0.001417
65,	0.001492
66,	0.001574
67,	0.001624
68,	0.001705
69,	0.001783
70,	0.001881
71,	0.002663
72,	0.002032
73,	0.002717
74,	0.002246
75,	0.002511
76,	0.002533
77,	0.002631
78,	0.002766
79,	0.002882
80,	0.002964
81,	0.003045
82,	0.003209
83,	0.003280
84,	0.004210
85,	0.003626
86,	0.003635
87,	0.003770
88,	0.003897
89,	0.004086
90,	0.004197
91,	0.004354
92,	0.005097
93,	0.005131
94,	0.005366
95,	0.005547
96,	0.004880
97,	0.005859
98,	0.005995
99,	0.006208
100,	0.006380
101,	0.006523
102,	0.006738
103,	0.006932
104,	0.007098
105,	0.007108
106,	0.007564
107,	0.007800
108,	0.007817
109,	0.008053
110,	0.008180
111,	0.008400
112,	0.008714
113,	0.008526
114,	0.009024
115,	0.009357
116,	0.009485
117,	0.009580
118,	0.010171
119,	0.010976
120,	0.010856
121,	0.011124
122,	0.009889
123,	0.010777
124,	0.010504
125,	0.010671
126,	0.011130
127,	0.011065
128,	0.011429
129,	0.011662
130,	0.015708
131,	0.012293
132,	0.012643
133,	0.012823
134,	0.013034
135,	0.013242
136,	0.013869
137,	0.013946
138,	0.014718
139,	0.014583
140,	0.014887
141,	0.015542
142,	0.015411
143,	0.015675
144,	0.016340
145,	0.016522
146,	0.016685
147,	0.017357
148,	0.017482
149,	0.017714
150,	0.018012
151,	0.018633
152,	0.021634
153,	0.019439
154,	0.021044
155,	0.020248
156,	0.020755
157,	0.020898
158,	0.021226
159,	0.021576
160,	0.022151
161,	0.022478
162,	0.025767
163,	0.023333
164,	0.023682
165,	0.024051
166,	0.024554
167,	0.025032
168,	0.025432
169,	0.026215
170,	0.026574
171,	0.026899
172,	0.027184
173,	0.027615
174,	0.028172
175,	0.029108
176,	0.030367
177,	0.030171
178,	0.031083
179,	0.031418
180,	0.032082
181,	0.032043
182,	0.032417
183,	0.033220
184,	0.033391
185,	0.035609
186,	0.035563
187,	0.035460
188,	0.035822
189,	0.036868
190,	0.037340
191,	0.038294
192,	0.041247
193,	0.038912
194,	0.039706
195,	0.040709
196,	0.040828
197,	0.041362
198,	0.042134
199,	0.042994
200,	0.043328
201,	0.044222
202,	0.046406
203,	0.045474
204,	0.045046
205,	0.046087
206,	0.046913
207,	0.049495
208,	0.048450
209,	0.050131
210,	0.067228
211,	0.078726
212,	0.061785
213,	0.052198
214,	0.053152
215,	0.053891
216,	0.054024
217,	0.054109
218,	0.056945
219,	0.056840
220,	0.057670
221,	0.058605
222,	0.059567
223,	0.060021
224,	0.061226
225,	0.061613
226,	0.068051
227,	0.063477
228,	0.063548
229,	0.066019
230,	0.064559
231,	0.066261
232,	0.068153
233,	0.070165
234,	0.069295
235,	0.070416
236,	0.070710
237,	0.071550
238,	0.072933
239,	0.073600
240,	0.076175
241,	0.074874
242,	0.076410
243,	0.078092
244,	0.079903
245,	0.080985
246,	0.084072
247,	0.084630
248,	0.086096
249,	0.087397
250,	0.086666
251,	0.086697
252,	0.093582
253,	0.088227
254,	0.089714
255,	0.091303
256,	0.090788
257,	0.090778
258,	0.092471
259,	0.097789
260,	0.095135
261,	0.096422
262,	0.109607
263,	0.099313
264,	0.101193
265,	0.101391
266,	0.101282
267,	0.100210
268,	0.106775
269,	0.105017
270,	0.108707
271,	0.116425
272,	0.108647
273,	0.116987
274,	0.129247
275,	0.111932
276,	0.113073
277,	0.157272
278,	0.114968
279,	0.127891
280,	0.125045
281,	0.117537
282,	0.118254
283,	0.136215
284,	0.120566
285,	0.121602
286,	0.123198
287,	0.124870
288,	0.126286
289,	0.128174
290,	0.129178
291,	0.130151
292,	0.134125
293,	0.132799
294,	0.135658
295,	0.135976
296,	0.141045
297,	0.164455
298,	0.174437
299,	0.143215
300,	0.165231
301,	0.147275
302,	0.149560
303,	0.157927
304,	0.153845
305,	0.175286
306,	0.178824
307,	0.163473
308,	0.219364
309,	0.158128
310,	0.164083
311,	0.161723
312,	0.159755
313,	0.163656
314,	0.164634
315,	0.197280
316,	0.168827
317,	0.168716
318,	0.169905
319,	0.173840
320,	0.174394
321,	0.174470
322,	0.229559
323,	0.178561
324,	0.179978
325,	0.182213
326,	0.184862
327,	0.188667
328,	0.186096
329,	0.187900
330,	0.194811
331,	0.193682
332,	0.199202
333,	0.197057
334,	0.195820
335,	0.200082
336,	0.199991
337,	0.224701
338,	0.231815
339,	0.205755
340,	0.225541
341,	0.213645
342,	0.210894
343,	0.212654
344,	0.220027
345,	0.216232
346,	0.228739
347,	0.244040
348,	0.230660
349,	0.224822
350,	0.300932
351,	0.227901
352,	0.230102
353,	0.231121
354,	0.327806
355,	0.237146
356,	0.258007
357,	0.246053
358,	0.245475
359,	0.259155
360,	0.265691
361,	0.276840
362,	0.252002
363,	0.252712
364,	0.258118
365,	0.316478
366,	0.269683
367,	0.271994
368,	0.264982
369,	0.266103
370,	0.267964
371,	0.275052
372,	0.361661
373,	0.278128
374,	0.283712
375,	0.326350
376,	0.289004
377,	0.287810
378,	0.291052
379,	0.298394
380,	0.357795
381,	0.316459
382,	0.311562
383,	0.418098
384,	0.319399
385,	0.306969
386,	0.313402
387,	0.310654
388,	0.315050
389,	0.315305
390,	0.320663
391,	0.338928
392,	0.376788
393,	0.323164
394,	0.336691
395,	0.332413
396,	0.349943
397,	0.335159
398,	0.338159
399,	0.426995
400,	0.337518
401,	0.340903
402,	0.342408
403,	0.353211
404,	0.358614
405,	0.352370
406,	0.433558
407,	0.367783
408,	0.373195
409,	0.360504
410,	0.363359
411,	0.444795
412,	0.369142
413,	0.371100
414,	0.376446
415,	0.381748
416,	0.387189
417,	0.452218
418,	0.462217
419,	0.411730
420,	0.413524
421,	0.391559
422,	0.407161
423,	0.429713
424,	0.419682
425,	0.417111
426,	0.405795
427,	0.412511
428,	0.412943
429,	0.452751
430,	0.432379
431,	0.456074
432,	0.451737
433,	0.431184
434,	0.434969
435,	0.434225
436,	0.442956
437,	0.447335
438,	0.479785
439,	0.462341
440,	0.462184
441,	0.452456
442,	0.467293
443,	0.464711
444,	0.480739
445,	0.467599
446,	0.483096
447,	0.523194
448,	0.550212
449,	0.486752
450,	0.492473
451,	0.511785
452,	0.507867
453,	0.523523
454,	0.519387
455,	0.499165
456,	0.523624
457,	0.525815
458,	0.546760
459,	0.522876
460,	0.531225
461,	0.540186
462,	0.531841
463,	0.547140
464,	0.531932
465,	0.529455
466,	0.533226
467,	0.614159
468,	0.561375
469,	0.548104
470,	0.612529
471,	0.561549
472,	0.615007
473,	0.587393
474,	0.563540
475,	0.590144
476,	0.628227
477,	0.715081
478,	0.571631
479,	0.600559
480,	0.585221
481,	0.600709
482,	0.622781
483,	0.639098
484,	0.620754
485,	0.602199
486,	0.608645
487,	0.625060
488,	0.680733
489,	0.629366
490,	0.681522
491,	0.625828
492,	0.641057
493,	0.629721
494,	0.659273
495,	0.651255
496,	0.663129
497,	0.660835
498,	0.681286
499,	0.681632
500,	0.683759
501,	0.729580
502,	0.713487
503,	0.672048
504,	0.681892
505,	0.710259
506,	0.693734
507,	0.684145
508,	0.688611
509,	0.703339
510,	0.783759
511,	0.705949
512,	0.728430
513,	0.707274
514,	0.748935
515,	0.774309
516,	0.741044
517,	0.741881
518,	0.748602
519,	0.787631
520,	0.748950
521,	0.776814
522,	0.774747
523,	0.804946
524,	0.811320
525,	0.772121
526,	0.808767
527,	0.826544
528,	0.804700
529,	0.812952
530,	0.850533
531,	0.811636
532,	0.811211
533,	0.835523
534,	0.804490
535,	0.816109
536,	0.868488
537,	0.823354
538,	0.843443
539,	0.830131
540,	0.838536
541,	0.870160
542,	0.842418
543,	0.845252
544,	0.956966
545,	0.862248
546,	0.883234
547,	0.860419
548,	0.887827
549,	0.906248
550,	0.950249
551,	0.922124
552,	0.889478
553,	0.922748
554,	0.900937
555,	0.949773
556,	1.052741
557,	0.908790
558,	0.934767
559,	0.915500
560,	1.071438
561,	0.950504
562,	1.094836
563,	1.062720
564,	1.059515
565,	0.979639
566,	1.068162
567,	1.036043
568,	1.100662
569,	0.996606
570,	1.063707
571,	1.057365
572,	0.987335
573,	0.996636
574,	1.008264
575,	1.035725
576,	1.049714
577,	1.032621
578,	1.090618
579,	1.102148
580,	1.189610
581,	1.080555
582,	1.078411
583,	1.111545
584,	1.067298
585,	1.191493
586,	1.102379
587,	1.077465
588,	1.073325
589,	1.227541
590,	1.080375
591,	1.128989
592,	1.128263
593,	1.119021
594,	1.142240
595,	1.118898
596,	1.106376
597,	1.163722
598,	1.141239
599,	1.162490
600,	1.179209
601,	1.283249
602,	1.176029
603,	1.157117
604,	1.164936
605,	1.164270
606,	1.304025
607,	1.173985
608,	1.214643
609,	1.256074
610,	1.208592
611,	1.238682
612,	1.356842
613,	1.234000
614,	1.257268
615,	1.267521
616,	1.257834
617,	1.339445
618,	1.293557
619,	1.291817
620,	1.308518
621,	1.257896
622,	1.294566
623,	1.263662
624,	1.303735
625,	1.276531
626,	1.346524
627,	1.338510
628,	1.380750
629,	1.316033
630,	1.315600
631,	1.340650
632,	1.332543
633,	1.345955
634,	1.351456
635,	1.470112
636,	1.447044
637,	1.380266
638,	1.395425
639,	1.512950
640,	1.510427
641,	1.473146
642,	1.396673
643,	1.527264
644,	1.399511
645,	1.461588
646,	1.429741
647,	1.553495
648,	1.578260
649,	1.453132
650,	1.479330
651,	1.551884
652,	2.855877
653,	3.168190
654,	3.168590
655,	2.740518
656,	3.063746
657,	2.643177
658,	2.715579
659,	3.220663
660,	2.883478
661,	3.308318
662,	3.041165
663,	1.683077
664,	1.583013
665,	1.575642
666,	1.562583
667,	3.342881
668,	3.317506
669,	3.214474
670,	2.453034
671,	2.817717
672,	1.600270
673,	1.624294
674,	4.165147
675,	2.172050
676,	1.640396
677,	2.524337
678,	1.692486
679,	2.053057
680,	2.196072
681,	1.849213
682,	1.775112
683,	1.815973
684,	1.756340
685,	1.755079
686,	1.788916
687,	1.853253
688,	1.882977
689,	1.806240
690,	1.721241
691,	1.771655
692,	2.039216
693,	1.822411
694,	1.954084
695,	1.817589
696,	1.807479
697,	1.810401
698,	1.842667
699,	1.909329
700,	1.961474
701,	1.882910
702,	1.894529
703,	1.924567
704,	1.878175
705,	1.965200
706,	1.871247
707,	2.008861
708,	1.887985
709,	1.880855
710,	1.897046
711,	2.030195
712,	2.053972
713,	1.924785
714,	1.930045
715,	1.944705
716,	1.930086
717,	1.948449
718,	1.966603
719,	1.959817
720,	1.983722
721,	2.014260
722,	1.977940
723,	2.002780
724,	2.014796
725,	2.216749
726,	2.182570
727,	2.181052
728,	2.271041
729,	2.961382
730,	3.397741
731,	2.489143
732,	3.634456
733,	3.393730
734,	2.992065
735,	2.788306
736,	3.457218
737,	3.655205
738,	3.955004
739,	2.842872
740,	3.722225
741,	3.698608
742,	3.525153
743,	3.201354
744,	3.029375
745,	2.487408
746,	2.573090
747,	2.186569
748,	2.199113
749,	2.316319
750,	2.283875
751,	2.378694
752,	2.230076
753,	2.301158
754,	2.319604
755,	2.674983
756,	3.701167
757,	2.405334
758,	2.304875
759,	2.470099
760,	2.468934
761,	2.465156
762,	2.554190
763,	2.483046
764,	2.447011
765,	2.651816
766,	2.482358
767,	2.561614
768,	2.551573
769,	2.559327
770,	2.533697
771,	2.447277
772,	2.472934
773,	2.410199
774,	2.520110
775,	2.510730
776,	2.602725
777,	2.593224
778,	2.459735
779,	2.695986
780,	2.603975
781,	2.581747
782,	2.509355
783,	2.714135
784,	2.637535
785,	2.729689
786,	2.558448
787,	2.573179
788,	2.645684
789,	2.579276
790,	2.670688
791,	2.603646
792,	2.602903
793,	2.764717
794,	2.632196
795,	2.941361
796,	2.800582
797,	2.746527
798,	2.818538
799,	2.677721
800,	2.902018
801,	2.935782
802,	2.817792
803,	2.719924
804,	2.887110
805,	2.965876
806,	2.754976
807,	2.771219
808,	2.837761
809,	2.894074
810,	3.395040
811,	2.902334
812,	2.946383
813,	2.904398
814,	2.860115
815,	2.937654
816,	3.016332
817,	3.076983
818,	2.932076
819,	2.919272
820,	2.955318
821,	3.005607
822,	2.987973
823,	3.042186
824,	3.066491
825,	3.122040
826,	3.194006
827,	3.235585
828,	3.261495
829,	3.169379
830,	3.029704
831,	3.117134
832,	3.167354
833,	3.218848
834,	3.033743
835,	3.122657
836,	3.643785
837,	3.128963
838,	3.145282
839,	3.298460
840,	3.151867
841,	3.281555
842,	3.221459
843,	3.154236
844,	3.365044
845,	3.183580
846,	3.267932
847,	3.347074
848,	3.261826
849,	3.324629
850,	3.273705
851,	3.277883
852,	3.425621
853,	3.639363
854,	3.420489
855,	3.566139
856,	3.643049
857,	3.467317
858,	3.717894
859,	3.562492
860,	3.386449
861,	3.590124
862,	3.503337
863,	3.422685
864,	3.463134
865,	3.415158
866,	3.503761
867,	3.678651
868,	3.664725
869,	3.636172
870,	3.533452
871,	3.507880
872,	3.608678
873,	3.579136
874,	3.663279
875,	3.585406
876,	3.760114
877,	3.673195
878,	3.623701
879,	3.803493
880,	3.789900
881,	3.695154
882,	3.707315
883,	3.738378
884,	3.799691
885,	3.748627
886,	3.833548
887,	3.753665
888,	3.678307
889,	3.826883
890,	3.801697
891,	3.867638
892,	3.979433
893,	3.936438
894,	4.020281
895,	3.888452
896,	3.869029
897,	3.945934
898,	3.987401
899,	3.947889
900,	4.079268
901,	4.078160
902,	3.910963
903,	3.970582
904,	4.235737
905,	4.122944
906,	3.976360
907,	4.005033
908,	3.987111
909,	3.997090
910,	4.158418
911,	4.143920
912,	4.115754
913,	4.286659
914,	4.173737
915,	4.152796
916,	4.123772
917,	4.408674
918,	4.252242
919,	4.437077
920,	4.428507
921,	4.272750
922,	4.212008
923,	4.304187
924,	4.369564
925,	4.263749
926,	4.404206
927,	4.276323
928,	4.550614
929,	4.306215
930,	4.279314
931,	4.405489
932,	4.405612
933,	4.303691
934,	4.501175
935,	4.450464
936,	4.489617
937,	4.602027
938,	4.639724
939,	4.464973
940,	4.650473
941,	4.720164
942,	4.777721
943,	4.521123
944,	4.700288
945,	4.660173
946,	4.534024
947,	4.732354
948,	4.674702
949,	4.884470
950,	4.636709
951,	4.618305
952,	4.614441
953,	4.798843
954,	4.806960
955,	4.901973
956,	4.941768
957,	4.817818
958,	5.021106
959,	4.969955
960,	4.971731
961,	4.964528
962,	4.753148
963,	4.864168
964,	4.748092
965,	4.939753
966,	4.850266
967,	4.800573
968,	4.987242
969,	4.935967
970,	4.829376
971,	4.973218
972,	4.885959
973,	5.032059
974,	5.129385
975,	5.236698
976,	5.116258
977,	5.080521
978,	5.096432
979,	5.192795
980,	5.199435
981,	5.198645
982,	5.015939
983,	5.097918
984,	5.143388
985,	5.098723
986,	5.225781
987,	5.253046
988,	5.236848
989,	5.491437
990,	5.016213
991,	5.932121
992,	5.716191
993,	5.412013
994,	5.827636
995,	5.300251
996,	5.419923
997,	5.451411
998,	6.163013
999,	5.682967
