matrix_size,	elapsed_time
3,	0.000001
4,	0.000001
5,	0.000001
6,	0.000002
7,	0.000003
8,	0.000004
9,	0.000005
10,	0.000007
11,	0.000007
12,	0.000013
13,	0.000252
14,	0.000241
15,	0.000021
16,	0.000025
17,	0.000033
18,	0.000256
19,	0.000043
20,	0.000052
21,	0.000286
22,	0.000064
23,	0.000072
24,	0.000082
25,	0.000080
26,	0.000089
27,	0.000099
28,	0.000115
29,	0.000123
30,	0.000157
31,	0.000161
32,	0.000186
33,	0.000193
34,	0.000221
35,	0.000227
36,	0.000264
37,	0.000285
38,	0.000299
39,	0.000337
40,	0.000340
41,	0.000387
42,	0.000391
43,	0.000801
44,	0.000550
45,	0.000493
46,	0.000670
47,	0.000558
48,	0.000614
49,	0.000699
50,	0.000683
51,	0.000711
52,	0.000757
53,	0.000800
54,	0.000859
55,	0.000902
56,	0.000944
57,	0.000997
58,	0.001047
59,	0.001102
60,	0.001157
61,	0.001212
62,	0.001280
63,	0.001339
64,	0.001432
65,	0.001506
66,	0.001538
67,	0.001634
68,	0.001713
69,	0.001810
70,	0.001883
71,	0.001946
72,	0.002846
73,	0.005456
74,	0.002207
75,	0.002545
76,	0.002518
77,	0.002663
78,	0.002781
79,	0.002965
80,	0.003004
81,	0.003101
82,	0.003217
83,	0.003278
84,	0.003305
85,	0.003602
86,	0.003756
87,	0.004154
88,	0.003894
89,	0.004034
90,	0.004269
91,	0.004344
92,	0.005058
93,	0.005132
94,	0.005300
95,	0.005346
96,	0.004980
97,	0.006081
98,	0.005984
99,	0.006161
100,	0.006317
101,	0.006621
102,	0.006915
103,	0.006876
104,	0.007053
105,	0.006372
106,	0.006612
107,	0.006823
108,	0.006864
109,	0.007303
110,	0.007213
111,	0.007550
112,	0.007646
113,	0.008024
114,	0.008134
115,	0.008467
116,	0.008503
117,	0.008778
118,	0.009090
119,	0.010624
120,	0.010779
121,	0.010825
122,	0.009975
123,	0.010107
124,	0.010708
125,	0.010715
126,	0.010956
127,	0.011261
128,	0.012811
129,	0.012138
130,	0.013549
131,	0.012332
132,	0.012648
133,	0.012878
134,	0.014522
135,	0.013610
136,	0.013824
137,	0.013965
138,	0.014751
139,	0.014697
140,	0.015091
141,	0.015692
142,	0.015773
143,	0.016578
144,	0.016555
145,	0.017190
146,	0.017413
147,	0.017925
148,	0.018071
149,	0.018807
150,	0.018838
151,	0.023319
152,	0.019540
153,	0.020303
154,	0.021238
155,	0.021476
156,	0.021374
157,	0.022822
158,	0.023456
159,	0.022776
160,	0.024074
161,	0.024011
162,	0.024804
163,	0.024932
164,	0.024889
165,	0.025555
166,	0.026340
167,	0.026969
168,	0.026607
169,	0.028130
170,	0.031630
171,	0.029792
172,	0.028736
173,	0.031181
174,	0.034483
175,	0.031974
176,	0.032135
177,	0.035353
178,	0.033934
179,	0.035644
180,	0.034532
181,	0.037415
182,	0.037277
183,	0.040727
184,	0.035735
185,	0.040694
186,	0.041188
187,	0.042269
188,	0.040293
189,	0.045545
190,	0.044032
191,	0.044834
192,	0.047215
193,	0.047166
194,	0.048006
195,	0.049286
196,	0.047098
197,	0.050373
198,	0.050769
199,	0.052171
200,	0.048720
201,	0.054620
202,	0.055354
203,	0.056190
204,	0.052804
205,	0.061984
206,	0.059618
207,	0.059964
208,	0.056914
209,	0.076066
210,	0.094244
211,	0.101759
212,	0.060938
213,	0.065598
214,	0.071637
215,	0.068630
216,	0.060644
217,	0.070335
218,	0.074264
219,	0.073505
220,	0.068447
221,	0.075250
222,	0.077437
223,	0.077990
224,	0.076663
225,	0.080671
226,	0.081846
227,	0.082086
228,	0.077277
229,	0.083411
230,	0.084250
231,	0.085672
232,	0.079270
233,	0.090106
234,	0.089709
235,	0.090943
236,	0.083948
237,	0.093144
238,	0.096520
239,	0.098640
240,	0.089429
241,	0.101177
242,	0.100020
243,	0.104034
244,	0.094577
245,	0.108073
246,	0.110271
247,	0.109246
248,	0.097446
249,	0.116641
250,	0.116716
251,	0.113954
252,	0.104069
253,	0.116727
254,	0.118207
255,	0.119191
256,	0.162309
257,	0.110897
258,	0.112757
259,	0.114621
260,	0.109363
261,	0.116550
262,	0.121078
263,	0.122763
264,	0.116446
265,	0.123221
266,	0.124547
267,	0.125318
268,	0.135466
269,	0.129128
270,	0.131744
271,	0.133927
272,	0.151405
273,	0.149957
274,	0.165361
275,	0.143356
276,	0.161425
277,	0.215085
278,	0.153815
279,	0.153802
280,	0.135208
281,	0.150566
282,	0.162226
283,	0.154342
284,	0.143801
285,	0.158180
286,	0.163179
287,	0.163905
288,	0.160113
289,	0.172760
290,	0.172798
291,	0.171736
292,	0.158238
293,	0.178074
294,	0.178630
295,	0.177462
296,	0.158623
297,	0.284067
298,	0.185221
299,	0.185835
300,	0.172184
301,	0.192062
302,	0.197938
303,	0.194094
304,	0.187632
305,	0.203761
306,	0.204859
307,	0.272073
308,	0.206119
309,	0.211361
310,	0.214868
311,	0.215554
312,	0.187180
313,	0.220989
314,	0.219661
315,	0.350541
316,	0.201813
317,	0.230508
318,	0.228501
319,	0.232934
320,	0.236923
321,	0.234137
322,	0.306463
323,	0.238146
324,	0.222600
325,	0.243883
326,	0.256217
327,	0.262768
328,	0.217257
329,	0.253103
330,	0.254869
331,	0.258942
332,	0.237413
333,	0.264853
334,	0.270297
335,	0.263326
336,	0.254421
337,	0.415255
338,	0.277969
339,	0.272294
340,	0.248360
341,	0.278067
342,	0.287659
343,	0.301399
344,	0.248428
345,	0.440740
346,	0.290617
347,	0.315226
348,	0.274156
349,	0.370082
350,	0.305479
351,	0.306830
352,	0.305927
353,	0.314148
354,	0.357320
355,	0.334204
356,	0.361283
357,	0.321285
358,	0.381336
359,	0.343395
360,	0.384198
361,	0.348441
362,	0.346173
363,	0.341910
364,	0.370704
365,	0.349987
366,	0.372623
367,	0.346560
368,	0.337702
369,	0.360520
370,	0.361506
371,	0.355094
372,	0.353124
373,	0.370513
374,	0.386008
375,	0.586418
376,	0.339817
377,	0.384193
378,	0.398095
379,	0.492655
380,	0.364895
381,	0.406782
382,	0.479034
383,	0.410595
384,	0.551397
385,	0.418134
386,	0.425855
387,	0.421933
388,	0.380172
389,	0.426867
390,	0.446294
391,	0.450739
392,	0.452142
393,	0.436485
394,	0.462677
395,	0.577925
396,	0.412826
397,	0.456021
398,	0.475236
399,	0.506676
400,	0.437329
401,	0.465770
402,	0.478353
403,	0.492188
404,	0.436108
405,	0.537194
406,	0.506403
407,	0.514146
408,	0.455790
409,	0.497330
410,	0.521923
411,	0.557522
412,	0.464002
413,	0.508651
414,	0.525293
415,	0.526229
416,	0.596014
417,	0.540565
418,	0.548725
419,	0.580332
420,	0.478960
421,	0.544863
422,	0.559769
423,	0.574299
424,	0.493153
425,	0.747247
426,	0.566766
427,	0.578940
428,	0.581527
429,	0.603295
430,	0.619609
431,	0.710347
432,	0.560259
433,	0.624717
434,	0.607165
435,	0.588499
436,	0.599685
437,	0.606422
438,	0.640270
439,	0.663266
440,	0.600161
441,	0.635937
442,	0.650041
443,	0.836653
444,	0.587249
445,	0.816536
446,	0.756692
447,	0.700446
448,	0.808234
449,	0.646280
450,	0.720749
451,	0.691056
452,	0.657570
453,	0.705427
454,	0.708283
455,	0.697540
456,	0.626137
457,	0.714449
458,	0.758993
459,	0.713902
460,	0.691754
461,	0.763730
462,	0.739954
463,	0.753521
464,	0.692026
465,	0.788091
466,	0.807584
467,	0.815905
468,	0.696600
469,	0.857886
470,	0.811272
471,	0.782668
472,	0.754743
473,	0.800038
474,	0.830246
475,	0.878558
476,	0.746944
477,	0.900441
478,	0.874390
479,	0.863079
480,	0.846845
481,	0.856901
482,	0.881887
483,	0.870014
484,	0.786289
485,	0.879872
486,	0.890417
487,	1.072558
488,	0.800002
489,	0.973819
490,	0.901666
491,	0.921880
492,	0.870629
493,	0.971216
494,	0.942856
495,	0.938693
496,	0.892394
497,	0.958662
498,	0.958355
499,	0.992042
500,	0.890639
501,	1.006907
502,	1.087996
503,	0.984626
504,	0.912870
505,	1.010570
506,	1.014916
507,	1.005131
508,	0.933690
509,	1.040141
510,	1.065714
511,	1.027956
512,	1.377656
513,	1.178573
514,	1.132573
515,	1.286677
516,	1.098478
517,	1.261870
518,	1.282378
519,	1.405221
520,	1.261754
521,	1.355371
522,	1.372274
523,	1.457058
524,	1.572237
525,	1.450858
526,	1.476318
527,	1.478055
528,	1.436125
529,	1.561920
530,	1.573487
531,	1.584561
532,	1.593473
533,	1.740103
534,	1.623482
535,	1.839020
536,	1.635427
537,	1.884850
538,	1.774082
539,	1.803724
540,	1.747578
541,	1.786662
542,	1.865713
543,	2.055608
544,	2.011117
545,	1.945713
546,	2.133021
547,	2.075146
548,	2.054564
549,	2.222877
550,	2.128549
551,	2.361653
552,	2.101247
553,	2.500731
554,	2.083496
555,	2.269439
556,	2.100448
557,	2.560509
558,	2.243198
559,	2.438971
560,	2.586257
561,	2.320094
562,	2.114163
563,	2.143425
564,	2.095777
565,	3.033942
566,	2.384333
567,	2.444375
568,	2.257515
569,	2.384166
570,	3.008456
571,	2.215482
572,	2.400298
573,	2.266067
574,	2.578227
575,	3.298686
576,	2.855992
577,	2.404574
578,	2.489399
579,	2.429875
580,	3.414887
581,	2.658260
582,	2.507300
583,	2.550103
584,	2.548067
585,	3.316839
586,	2.874781
587,	2.679861
588,	2.917594
589,	2.863423
590,	3.287683
591,	3.086966
592,	2.877199
593,	3.183253
594,	3.001306
595,	3.075161
596,	3.379199
597,	3.055316
598,	2.526295
599,	1.651812
600,	1.477506
601,	1.745324
602,	1.605540
603,	1.586643
604,	1.489130
605,	1.612050
606,	1.625020
607,	1.645270
608,	1.863088
609,	1.948182
610,	1.751152
611,	1.648587
612,	1.532705
613,	1.696072
614,	1.778513
615,	1.700328
616,	1.522695
617,	1.819420
618,	1.755318
619,	1.750784
620,	1.655945
621,	1.794316
622,	1.771912
623,	1.773227
624,	1.569926
625,	1.831328
626,	1.816739
627,	1.835789
628,	1.701057
629,	1.835074
630,	1.976707
631,	1.850898
632,	1.674195
633,	1.881479
634,	2.046202
635,	1.911061
636,	1.845441
637,	2.068755
638,	2.144039
639,	1.970352
640,	2.448234
641,	2.122460
642,	2.100833
643,	2.147772
644,	1.844721
645,	3.312167
646,	2.003986
647,	2.077310
648,	1.860224
649,	3.058841
650,	2.147457
651,	9.795609
652,	4.205295
653,	8.558109
654,	5.421169
655,	6.561169
656,	3.765372
657,	5.426151
658,	5.979340
659,	5.042333
660,	5.131694
661,	7.338857
662,	4.173840
663,	2.391638
664,	1.959628
665,	2.176706
666,	2.367198
667,	6.141516
668,	3.967661
669,	5.548314
670,	8.197270
671,	6.020064
672,	2.393267
673,	3.969028
674,	11.513623
675,	4.603939
676,	8.813606
677,	6.910831
678,	6.027729
679,	6.695713
680,	7.351636
681,	6.106512
682,	5.058457
683,	5.440683
684,	5.885686
685,	5.713608
686,	5.317977
687,	5.298757
688,	6.180117
689,	6.465013
690,	6.306638
691,	6.262010
692,	6.403187
693,	6.223561
694,	6.040979
695,	6.116467
696,	5.196399
697,	5.735035
698,	5.884257
699,	3.630208
700,	3.526391
701,	3.630179
702,	3.904823
703,	4.041333
704,	4.140997
705,	3.927054
706,	3.796482
707,	3.786630
708,	3.606970
709,	4.086278
710,	3.930132
711,	4.569869
712,	6.116313
713,	4.095132
714,	4.061545
715,	3.885566
716,	3.824477
717,	4.128699
718,	3.911742
719,	3.989125
720,	3.861237
721,	4.462840
722,	4.048413
723,	4.534107
724,	3.980550
725,	4.657207
726,	4.080844
727,	4.164630
728,	4.032090
729,	10.989058
730,	11.461353
731,	10.755103
732,	6.690196
733,	12.027177
734,	9.157198
735,	5.902386
736,	6.146154
737,	8.950492
738,	9.087625
739,	10.518385
740,	7.604003
741,	9.847506
742,	7.010278
743,	5.779186
744,	4.973245
745,	9.181810
746,	4.607073
747,	3.347707
748,	3.052799
749,	3.799862
750,	3.512265
751,	3.290359
752,	3.552708
753,	4.387080
754,	3.711619
755,	5.056254
756,	3.321777
757,	4.151649
758,	3.477002
759,	3.692809
760,	3.115671
761,	4.221163
762,	7.997111
763,	4.217133
764,	3.259985
765,	3.837302
766,	3.799573
767,	3.553311
768,	5.364832
769,	3.753394
770,	5.264853
771,	8.125038
772,	5.417637
773,	4.722000
774,	5.119484
775,	5.213993
776,	4.863007
777,	5.771357
778,	5.582079
779,	6.230231
780,	6.880277
781,	5.518963
782,	5.529696
783,	5.358338
784,	3.652253
785,	6.179161
786,	5.714852
787,	4.992294
788,	4.534200
789,	5.011030
790,	4.975325
791,	5.220620
792,	4.537848
793,	5.270802
794,	5.167529
795,	5.080658
796,	4.792235
797,	5.053255
798,	5.882491
799,	5.636459
800,	5.563148
801,	5.473182
802,	5.559134
803,	5.477664
804,	5.254750
805,	5.547172
806,	5.515546
807,	5.438111
808,	5.393834
809,	7.383228
810,	10.237034
811,	8.417543
812,	6.893600
813,	8.246632
814,	7.914767
815,	7.913832
816,	6.894027
817,	7.824076
818,	7.025694
819,	8.161527
820,	7.453860
821,	7.597341
822,	6.917181
823,	6.197463
824,	7.316576
825,	8.531847
826,	8.762762
827,	6.603583
828,	7.559735
829,	6.582418
830,	9.162874
831,	9.676191
832,	6.690459
833,	9.467206
834,	5.826715
835,	9.310261
836,	7.068673
837,	10.093455
838,	9.539201
839,	9.477966
840,	5.613934
841,	9.514352
842,	6.916608
843,	7.133262
844,	5.769522
845,	6.767483
846,	6.153666
847,	8.101671
848,	6.504028
849,	7.042454
850,	9.622016
851,	10.854522
852,	7.128604
853,	10.372375
854,	7.334762
855,	10.019709
856,	8.087871
857,	9.917283
858,	10.135797
859,	9.877298
860,	8.341859
861,	10.516197
862,	12.558517
863,	12.104231
864,	10.034891
865,	8.589266
866,	7.763688
867,	7.692057
868,	9.384936
869,	8.012212
870,	10.548952
871,	7.801871
872,	8.235943
873,	6.961410
874,	9.499760
875,	10.470757
876,	8.621545
877,	10.243859
878,	8.175028
879,	11.164220
880,	7.849200
881,	10.763980
882,	12.109785
883,	11.586990
884,	9.179771
885,	8.822045
886,	9.945945
887,	8.589637
888,	9.438951
889,	11.577683
890,	9.053935
891,	11.794439
892,	8.774990
893,	10.618113
894,	9.636625
895,	11.011395
896,	9.459806
897,	13.677360
898,	12.515469
899,	10.683322
900,	9.247866
901,	11.643169
902,	11.428022
903,	10.696482
904,	9.374816
905,	11.228031
906,	9.946106
907,	11.884850
908,	8.459101
909,	11.276220
910,	9.790767
911,	9.156803
912,	8.345895
913,	11.521312
914,	11.482733
915,	10.686051
916,	10.759530
917,	12.165236
918,	11.153552
919,	13.361936
920,	10.148704
921,	12.562163
922,	10.467163
923,	14.608226
924,	9.578599
925,	12.089069
926,	11.102364
927,	10.389376
928,	11.212546
929,	13.937679
930,	12.892027
931,	9.055409
932,	10.176102
933,	11.923324
934,	9.572033
935,	11.954401
936,	13.724052
937,	16.237122
938,	12.056562
939,	16.100426
940,	8.869327
941,	12.328256
942,	10.418511
943,	11.116279
944,	9.973504
945,	11.318367
946,	14.772522
947,	13.284275
948,	9.792295
949,	12.535661
950,	10.352962
951,	10.417161
952,	8.746864
953,	13.503195
954,	9.934735
955,	12.297740
956,	8.990741
957,	10.633625
958,	11.945489
959,	8.621236
960,	10.270894
961,	10.444624
962,	9.914621
963,	10.686208
964,	9.031095
965,	10.058272
966,	10.687793
967,	9.592865
968,	7.562722
969,	11.160567
970,	8.066184
971,	8.383049
972,	12.559809
973,	17.113317
974,	11.612450
975,	12.918140
976,	9.727346
977,	8.945916
978,	8.763190
979,	8.302426
980,	8.009847
981,	8.321346
982,	10.496560
983,	11.158136
984,	9.549581
985,	10.348043
986,	8.490387
987,	10.491031
988,	9.628662
989,	8.763812
990,	10.167435
991,	10.045320
992,	14.741161
993,	15.546069
994,	13.237872
995,	9.536023
996,	9.220510
997,	10.096387
998,	12.152896
999,	11.406711
